panel_symbol	entrez_id	source	note
ARID1A	8289	hgnc_symbol	
ARID1B	57492	hgnc_symbol	
ATM	472	hgnc_symbol	
B2M	567	hgnc_symbol	
BCL10	8915	hgnc_symbol	
BCL2	596	hgnc_symbol	
BCL6	604	hgnc_symbol	
BCL7A	605	hgnc_symbol	
BCOR	54880	hgnc_symbol	
BIRC3	330	hgnc_symbol	
BRAF	673	hgnc_symbol	
BTG1	694	hgnc_symbol	
BTG2	7832	hgnc_symbol	
BTK	695	hgnc_symbol	
CARD11	84433	hgnc_symbol	
CCND1	595	hgnc_symbol	
CCND3	896	hgnc_symbol	
CD37	951	hgnc_symbol	
CD58	965	hgnc_symbol	
CD70	970	hgnc_symbol	
CD79A	973	hgnc_symbol	
CD79B	974	hgnc_symbol	
CD83	9308	hgnc_symbol	
CDKN2A	1029	hgnc_symbol	
CDKN2B	1030	hgnc_symbol	
CIITA	4261	hgnc_symbol	
CREBBP	1387	hgnc_symbol	
CTNNB1	1499	hgnc_symbol	
CXCR4	7852	hgnc_symbol	
CXCR5	643	hgnc_symbol	
DTX1	1840	hgnc_symbol	
DUSP2	1844	hgnc_symbol	
EBF1	1879	hgnc_symbol	
EEF1A1	1915	hgnc_symbol	
EGFR	1956	hgnc_symbol	
EP300	2033	hgnc_symbol	
ETS1	2113	hgnc_symbol	
ETV6	2120	hgnc_symbol	
EZH2	2146	hgnc_symbol	
FAS	355	hgnc_symbol	
FBXW7	55294	hgnc_symbol	
FOXO1	2308	hgnc_symbol	
GNA13	10672	hgnc_symbol	
GNAI2	2771	hgnc_symbol	
GRHPR	9380	hgnc_symbol	
HIST1H1B	3009	hgnc_prev_symbol	
HIST1H1C	3006	hgnc_prev_symbol	
HIST1H1D	3007	hgnc_prev_symbol	
HIST1H1E	3008	hgnc_prev_symbol	
HIST1H2AC	8334	hgnc_prev_symbol	
HIST1H2AM	8336	hgnc_prev_symbol	
HIST1H2BC	8347	hgnc_prev_symbol	
HIST1H2BK	85236	hgnc_prev_symbol	
ID3	3399	hgnc_symbol	
IDH1	3417	hgnc_symbol	
IGLL5	100423062	hgnc_symbol	
IKBKB	3551	hgnc_symbol	
IRF2BP2	359948	hgnc_symbol	
IRF4	3662	hgnc_symbol	
IRF8	3394	hgnc_symbol	
IRS2	8660	hgnc_symbol	
ITPKB	3707	hgnc_symbol	
JAK3	3718	hgnc_symbol	
KLF2	10365	hgnc_symbol	
KLHL14	57565	hgnc_symbol	
KLHL6	89857	hgnc_symbol	
KMT2D	8085	hgnc_symbol	
KRAS	3845	hgnc_symbol	
LRP1B	53353	hgnc_symbol	
LYN	4067	hgnc_symbol	
MALT1	10892	hgnc_symbol	
MAP2K1	5604	hgnc_symbol	
MCL1	4170	hgnc_symbol	
MEF2B	100271849	hgnc_symbol	
MPEG1	219972	hgnc_symbol	
MSH3	4437	hgnc_symbol	
MTOR	2475	hgnc_symbol	
MYC	4609	hgnc_symbol	
MYD88	4615	hgnc_symbol	
NFKBIA	4792	hgnc_symbol	
NFKBIE	4794	hgnc_symbol	
NFKBIZ	64332	hgnc_symbol	
NOTCH1	4851	hgnc_symbol	
NOTCH2	4853	hgnc_symbol	
NSD2	7468	hgnc_symbol	
NTRK1	4914	hgnc_symbol	
OSBPL10	114884	hgnc_symbol	
PAX5	5079	hgnc_symbol	
PIK3CA	5290	hgnc_symbol	
PIM1	9361	hgnc_alias	
PIM2	11040	hgnc_symbol	
PLCG2	5336	hgnc_symbol	
POU2F2	5452	hgnc_symbol	
PRDM1	639	hgnc_symbol	
PTEN	5728	hgnc_symbol	
PTPN11	5781	hgnc_symbol	
PTPN6	5777	hgnc_symbol	
PTPRD	5789	hgnc_symbol	
RRAGC	64121	hgnc_symbol	
S1PR2	9294	hgnc_symbol	
SETD1B	23067	hgnc_symbol	
SF3B1	23451	hgnc_symbol	
SGK1	6446	hgnc_symbol	
SLC22A16	85413	hgnc_symbol	
SLCO1A2	6579	hgnc_symbol	
SOCS1	8651	hgnc_symbol	
SPIB	6689	hgnc_symbol	
STAT3	6774	hgnc_symbol	
STAT6	6778	hgnc_symbol	
TBL1XR1	79718	hgnc_symbol	
TCF3	6929	hgnc_symbol	
TCL1A	8115	hgnc_symbol	
TET2	54790	hgnc_symbol	
TMEM30A	55754	hgnc_prev_symbol	
TMSB4X	7114	hgnc_symbol	
TNFAIP3	7128	hgnc_symbol	
TNFRSF14	8764	hgnc_symbol	
TOX	9760	hgnc_symbol	
TP53	7157	hgnc_symbol	
TRAF2	10010	hgnc_prev_symbol	
TRAF3	7187	hgnc_symbol	
UBE2A	7319	hgnc_symbol	
UBR5	51366	hgnc_symbol	
XBP1	7494	hgnc_symbol	
ZEB2	9839	hgnc_symbol	
ZFAT	57623	hgnc_symbol	
