symbol	entrez_id	source
(P)RR	10159	hgnc_alias
0808Y08Y	100130557	hgnc_alias
1-8D	10581	hgnc_alias
1-8U	10410	hgnc_alias
1-CYS	9588	hgnc_alias
1/2-SBSRNA4	100533182	hgnc_alias
10-FTHF	10840	hgnc_alias
101F10.1	400506	hgnc_alias
101F6	11068	hgnc_alias
103AS	3805	hgnc_alias
10C	64333	hgnc_alias
11B6	10916	hgnc_alias
12-HETER	2853	hgnc_alias
123F2	11186	hgnc_alias
12CC4	27086	hgnc_alias
12R-LOX	242	hgnc_alias
12S	4549	hgnc_alias
12S-LOX	239	hgnc_alias
133K02	10827	hgnc_alias
13CDNA73	10129	hgnc_alias
14-3-3	10971	hgnc_alias
14-3-3-ZETA	7534	hgnc_alias
14-3-3GAMMA	7532	hgnc_alias
14-3-3Γ	7532	hgnc_alias
14.1	3543	hgnc_alias
14Q(0)	692215	hgnc_alias
14Q(I-1)	767561	hgnc_alias
14Q(I-2)	767562	hgnc_alias
14Q(I-3)	767563	hgnc_alias
14Q(I-4)	767564	hgnc_alias
14Q(I-5)	767565	hgnc_alias
14Q(I-6)	767566	hgnc_alias
14Q(I-7)	767567	hgnc_alias
14Q(I-8)	767568	hgnc_alias
14Q(I-9)	767569	hgnc_alias
14Q(II-1)	767577	hgnc_alias
14Q(II-10)	767588	hgnc_alias
14Q(II-11)	767589	hgnc_alias
14Q(II-12)	767590	hgnc_alias
14Q(II-13)	767591	hgnc_alias
14Q(II-14)	767592	hgnc_alias
14Q(II-15)	767593	hgnc_alias
14Q(II-16)	767594	hgnc_alias
14Q(II-17)	767595	hgnc_alias
14Q(II-18)	767596	hgnc_alias
14Q(II-19)	767597	hgnc_alias
14Q(II-2)	767578	hgnc_alias
14Q(II-20)	767598	hgnc_alias
14Q(II-21)	767599	hgnc_alias
14Q(II-22)	767600	hgnc_alias
14Q(II-23)	767603	hgnc_alias
14Q(II-24)	767604	hgnc_alias
14Q(II-25)	767605	hgnc_alias
14Q(II-26)	767606	hgnc_alias
14Q(II-27)	767608	hgnc_alias
14Q(II-28)	767609	hgnc_alias
14Q(II-29)	767610	hgnc_alias
14Q(II-3)	767579	hgnc_alias
14Q(II-30)	767611	hgnc_alias
14Q(II-31)	767612	hgnc_alias
14Q(II-4)	767580	hgnc_alias
14Q(II-5)	767581	hgnc_alias
14Q(II-6)	767582	hgnc_alias
14Q(II-7)	767583	hgnc_alias
14Q(II-8)	767584	hgnc_alias
14Q(II-9)	767585	hgnc_alias
15-LOX-1	246	hgnc_alias
15-LOX-2	247	hgnc_alias
15.212	3805	hgnc_alias
15.5K	4809	hgnc_alias
156DAG	1605	hgnc_alias
15E1.2	283459	hgnc_alias
16.1	91353	hgnc_alias
16.2	3544	hgnc_alias
